Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Capacidade Produção Biodiesel (m³/d)
06/2018,DELTA BIOCOMBUSTIVEIS INDUSTRIA E COMERCIO LTDA,11513699000100,CENTRO OESTE,Mato Grosso do Sul,RIO BRILHANTE,300
06/2018,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,1063
06/2018,OLEOPLAN NORDESTE INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,13463913000358,NORDESTE,Bahia,IRAQUARA,500
06/2018,SSIL SOCIEDADE SALES INDUSTRIAL LTDA - EPP,24748311000100,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,50
06/2018,COFCO INTERNATIONAL GRAINS LTDA.,29332398000226,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,600
06/2018,USINA BARRALCOOL S/A,33664228000135,CENTRO OESTE,Mato Grosso,BARRA DO BUGRES,190
06/2018,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329002660,CENTRO OESTE,Goiás,ANAPOLIS,1550
06/2018,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329006143,SUL,Rio Grande do Sul,CACHOEIRA DO SUL,933
06/2018,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329008430,NORTE,Tocantins,PORTO NACIONAL,800
06/2018,PRODUTOS ALIMENTICIOS ORLANDIA S A COMERCIO E INDUSTRIA,53309845000120,SUDESTE,São Paulo,ORLANDIA,367
06/2018,CARGILL AGRICOLA S A,60498706029481,CENTRO OESTE,Mato Grosso do Sul,TRES LAGOAS,700
06/2018,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,45
06/2018,CAIBIENSE GRAN VITA LTDA,75817163000756,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,100
06/2018,BUNGE ALIMENTOS S/A,84046101054366,CENTRO OESTE,Mato Grosso,NOVA MUTUM,497
06/2018,BIANCHINI SA INDUSTRIA COMERCIO E AGRICULTURA,87548020000260,SUL,Rio Grande do Sul,CANOAS,900
06/2018,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,88676127000257,SUL,Rio Grande do Sul,VERANOPOLIS,1300
06/2018,FUGA COUROS SA,91302349001610,SUL,Rio Grande do Sul,CAMARGO,300
06/2018,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,600
06/2018,OLFAR S/A - ALIMENTO E ENERGIA,91830836004085,SUDESTE,Rio de Janeiro,PORTO REAL,450
06/2018,TRES TENTOS AGROINDUSTRIAL SA,94813102001737,SUL,Rio Grande do Sul,IJUI,500
06/2018,CAMERA AGROALIMENTOS S.A,98248644002656,SUL,Rio Grande do Sul,IJUI,650
05/2018,CARAMURU ALIMENTOS  S/A,00080671000371,CENTRO OESTE,Goiás,SAO SIMAO,625
05/2018,CARAMURU ALIMENTOS  S/A,00080671002153,CENTRO OESTE,Goiás,IPAMERI,625
05/2018,CARAMURU ALIMENTOS  S/A,00080671002668,CENTRO OESTE,Mato Grosso,SORRISO,285
05/2018,ADM DO BRASIL LTDA,02003402002461,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,1352
05/2018,ADM DO BRASIL LTDA,02003402004677,SUL,Santa Catarina,JOACABA,510
05/2018,FIAGRIL LTDA,02734023000821,CENTRO OESTE,Mato Grosso,LUCAS DO RIO VERDE,563
05/2018,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,560
05/2018,BOCCHI INDUSTRIA E COMERCIO DE CEREAIS LTDA,02987873001056,SUL,Rio Grande do Sul,MUITOS CAPOES,300
05/2018,BINATURAL ENERGIAS RENOVAVEIS S.A,07113559000177,CENTRO OESTE,Goiás,FORMOSA,450
05/2018,BIO PETRO PRODUCAO E COMERCIALIZACAO DE BIOCOMBUSTIVEIS LTDA,07156116000163,SUDESTE,São Paulo,ARARAQUARA,194
05/2018,BE8 S.A.,07322382000119,SUL,Rio Grande do Sul,PASSO FUNDO,800
05/2018,BE8 S.A.,07322382000461,SUL,Paraná,MARIALVA,800
05/2018,JATAI AGROINDUSTRIA DE BIO-COMBUSTIVEL LTDA - EPP,07445656000167,CENTRO OESTE,Goiás,JATAI,50
05/2018,BIOCAPITAL PARTICIPACOES S.A.,07814533000156,SUDESTE,São Paulo,CHARQUEADA,400
05/2018,COMPANHIA PRODUTORA DE BIODIESEL DO TOCANTINS,07913930000185,NORTE,Tocantins,PARAISO DO TOCANTINS,81
05/2018,BIOPAR - BIOENERGIA DO PARANA LTDA.,07922068000177,SUL,Paraná,ROLANDIA,120
05/2018,TAUA BIODIESEL LTDA,08079290000112,CENTRO OESTE,Mato Grosso,NOVA MUTUM,100
05/2018,"BIOCAMP INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE BIODIESEL LTDA",08094915000115,CENTRO OESTE,Mato Grosso,CAMPO VERDE,300
05/2018,IPÊ BIOCOMBUSTÍVEL LTDA.,08382761000167,CENTRO OESTE,Mato Grosso,FELIZ NATAL,10
05/2018,BIO OLEO INDUSTRIA E COMERCIO DE BIOCOMBUSTIVEL LTDA - EPP,08387930000151,CENTRO OESTE,Mato Grosso,CUIABA,150
05/2018,"BIO BRAZILIAN ITALIAN OIL INDUSTRIA, COMERCIO E EXPORTACAO DE BIOCOMBUSTIVEIS LTDA.",08429269000108,CENTRO OESTE,Mato Grosso,BARRA DO GARCAS,98
05/2018,CESBRA QUIMICA LTDA,08436584000154,SUDESTE,Rio de Janeiro,VOLTA REDONDA,166
05/2018,BIOPAR PRODUCAO DE BIODIESEL PARECIS LTDA,08684263000179,CENTRO OESTE,Mato Grosso,NOVA MARILANDIA,338
05/2018,BIO VIDA PRODUCAO E COMERCIO DE BIODIESEL LTDA - ME,08772264000175,CENTRO OESTE,Mato Grosso,VARZEA GRANDE,18
05/2018,AMAZONBIO - INDUSTRIA E COMERCIO DE BIODIESEL DA AMAZONIA LTDA.,08794451000150,NORTE,Rondônia,JI-PARANA,90
05/2018,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000203,NORDESTE,Ceará,QUIXADA,301
05/2018,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000386,NORDESTE,Bahia,CANDEIAS,603
05/2018,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,422
05/2018,ALIANCA BIOCOMBUSTÍVEL LTDA.,10737181000197,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,10
05/2018,DELTA BIOCOMBUSTIVEIS INDUSTRIA E COMERCIO LTDA,11513699000100,CENTRO OESTE,Mato Grosso do Sul,RIO BRILHANTE,300
05/2018,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,1063
05/2018,OLEOPLAN NORDESTE INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,13463913000358,NORDESTE,Bahia,IRAQUARA,500
05/2018,SSIL SOCIEDADE SALES INDUSTRIAL LTDA - EPP,24748311000100,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,50
05/2018,COFCO INTERNATIONAL GRAINS LTDA.,29332398000226,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,600
05/2018,USINA BARRALCOOL S/A,33664228000135,CENTRO OESTE,Mato Grosso,BARRA DO BUGRES,190
05/2018,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329002660,CENTRO OESTE,Goiás,ANAPOLIS,1550
05/2018,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329006143,SUL,Rio Grande do Sul,CACHOEIRA DO SUL,933
05/2018,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329008430,NORTE,Tocantins,PORTO NACIONAL,800
05/2018,PRODUTOS ALIMENTICIOS ORLANDIA S A COMERCIO E INDUSTRIA,53309845000120,SUDESTE,São Paulo,ORLANDIA,367
05/2018,CARGILL AGRICOLA S A,60498706029481,CENTRO OESTE,Mato Grosso do Sul,TRES LAGOAS,700
05/2018,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,45
05/2018,CAIBIENSE GRAN VITA LTDA,75817163000756,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,100
05/2018,BUNGE ALIMENTOS S/A,84046101054366,CENTRO OESTE,Mato Grosso,NOVA MUTUM,497
05/2018,BIANCHINI SA INDUSTRIA COMERCIO E AGRICULTURA,87548020000260,SUL,Rio Grande do Sul,CANOAS,900
05/2018,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,88676127000257,SUL,Rio Grande do Sul,VERANOPOLIS,1300
05/2018,FUGA COUROS SA,91302349001610,SUL,Rio Grande do Sul,CAMARGO,300
05/2018,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,600
05/2018,OLFAR S/A - ALIMENTO E ENERGIA,91830836004085,SUDESTE,Rio de Janeiro,PORTO REAL,450
05/2018,TRES TENTOS AGROINDUSTRIAL SA,94813102001737,SUL,Rio Grande do Sul,IJUI,500
05/2018,CAMERA AGROALIMENTOS S.A,98248644002656,SUL,Rio Grande do Sul,IJUI,650
04/2018,CARAMURU ALIMENTOS  S/A,00080671000371,CENTRO OESTE,Goiás,SAO SIMAO,625
04/2018,CARAMURU ALIMENTOS  S/A,00080671002153,CENTRO OESTE,Goiás,IPAMERI,625
04/2018,CARAMURU ALIMENTOS  S/A,00080671002668,CENTRO OESTE,Mato Grosso,SORRISO,285
04/2018,ADM DO BRASIL LTDA,02003402002461,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,1352
04/2018,ADM DO BRASIL LTDA,02003402004677,SUL,Santa Catarina,JOACABA,510
04/2018,FIAGRIL LTDA,02734023000821,CENTRO OESTE,Mato Grosso,LUCAS DO RIO VERDE,563
04/2018,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,560
04/2018,BOCCHI INDUSTRIA E COMERCIO DE CEREAIS LTDA,02987873001056,SUL,Rio Grande do Sul,MUITOS CAPOES,300
04/2018,BINATURAL ENERGIAS RENOVAVEIS S.A,07113559000177,CENTRO OESTE,Goiás,FORMOSA,450
04/2018,BIO PETRO PRODUCAO E COMERCIALIZACAO DE BIOCOMBUSTIVEIS LTDA,07156116000163,SUDESTE,São Paulo,ARARAQUARA,194
04/2018,BE8 S.A.,07322382000119,SUL,Rio Grande do Sul,PASSO FUNDO,800
04/2018,BE8 S.A.,07322382000461,SUL,Paraná,MARIALVA,800
04/2018,JATAI AGROINDUSTRIA DE BIO-COMBUSTIVEL LTDA - EPP,07445656000167,CENTRO OESTE,Goiás,JATAI,50
04/2018,BIOCAPITAL PARTICIPACOES S.A.,07814533000156,SUDESTE,São Paulo,CHARQUEADA,400
04/2018,COMPANHIA PRODUTORA DE BIODIESEL DO TOCANTINS,07913930000185,NORTE,Tocantins,PARAISO DO TOCANTINS,81
04/2018,BIOPAR - BIOENERGIA DO PARANA LTDA.,07922068000177,SUL,Paraná,ROLANDIA,120
04/2018,TAUA BIODIESEL LTDA,08079290000112,CENTRO OESTE,Mato Grosso,NOVA MUTUM,100
04/2018,"BIOCAMP INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE BIODIESEL LTDA",08094915000115,CENTRO OESTE,Mato Grosso,CAMPO VERDE,300
04/2018,IPÊ BIOCOMBUSTÍVEL LTDA.,08382761000167,CENTRO OESTE,Mato Grosso,FELIZ NATAL,10
04/2018,BIO OLEO INDUSTRIA E COMERCIO DE BIOCOMBUSTIVEL LTDA - EPP,08387930000151,CENTRO OESTE,Mato Grosso,CUIABA,150
04/2018,"BIO BRAZILIAN ITALIAN OIL INDUSTRIA, COMERCIO E EXPORTACAO DE BIOCOMBUSTIVEIS LTDA.",08429269000108,CENTRO OESTE,Mato Grosso,BARRA DO GARCAS,98
04/2018,CESBRA QUIMICA LTDA,08436584000154,SUDESTE,Rio de Janeiro,VOLTA REDONDA,166
04/2018,BIOPAR PRODUCAO DE BIODIESEL PARECIS LTDA,08684263000179,CENTRO OESTE,Mato Grosso,NOVA MARILANDIA,338
04/2018,BIO VIDA PRODUCAO E COMERCIO DE BIODIESEL LTDA - ME,08772264000175,CENTRO OESTE,Mato Grosso,VARZEA GRANDE,18
04/2018,AMAZONBIO - INDUSTRIA E COMERCIO DE BIODIESEL DA AMAZONIA LTDA.,08794451000150,NORTE,Rondônia,JI-PARANA,90
04/2018,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000203,NORDESTE,Ceará,QUIXADA,301
04/2018,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000386,NORDESTE,Bahia,CANDEIAS,603
04/2018,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,422
04/2018,ALIANCA BIOCOMBUSTÍVEL LTDA.,10737181000197,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,10
04/2018,DELTA BIOCOMBUSTIVEIS INDUSTRIA E COMERCIO LTDA,11513699000100,CENTRO OESTE,Mato Grosso do Sul,RIO BRILHANTE,300
04/2018,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,1063
04/2018,OLEOPLAN NORDESTE INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,13463913000358,NORDESTE,Bahia,IRAQUARA,500
04/2018,SSIL SOCIEDADE SALES INDUSTRIAL LTDA - EPP,24748311000100,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,50
04/2018,COFCO INTERNATIONAL GRAINS LTDA.,29332398000226,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,600
04/2018,USINA BARRALCOOL S/A,33664228000135,CENTRO OESTE,Mato Grosso,BARRA DO BUGRES,190
04/2018,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329002660,CENTRO OESTE,Goiás,ANAPOLIS,1550
04/2018,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329006143,SUL,Rio Grande do Sul,CACHOEIRA DO SUL,933
04/2018,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329008430,NORTE,Tocantins,PORTO NACIONAL,800
04/2018,PRODUTOS ALIMENTICIOS ORLANDIA S A COMERCIO E INDUSTRIA,53309845000120,SUDESTE,São Paulo,ORLANDIA,367
04/2018,CARGILL AGRICOLA S A,60498706029481,CENTRO OESTE,Mato Grosso do Sul,TRES LAGOAS,700
04/2018,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,45
04/2018,CAIBIENSE GRAN VITA LTDA,75817163000756,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,100
04/2018,BUNGE ALIMENTOS S/A,84046101054366,CENTRO OESTE,Mato Grosso,NOVA MUTUM,413
04/2018,BIANCHINI SA INDUSTRIA COMERCIO E AGRICULTURA,87548020000260,SUL,Rio Grande do Sul,CANOAS,900
04/2018,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,88676127000257,SUL,Rio Grande do Sul,VERANOPOLIS,1050
04/2018,FUGA COUROS SA,91302349001610,SUL,Rio Grande do Sul,CAMARGO,300
04/2018,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,600
04/2018,OLFAR S/A - ALIMENTO E ENERGIA,91830836004085,SUDESTE,Rio de Janeiro,PORTO REAL,450
04/2018,TRES TENTOS AGROINDUSTRIAL SA,94813102001737,SUL,Rio Grande do Sul,IJUI,500
04/2018,CAMERA AGROALIMENTOS S.A,98248644002656,SUL,Rio Grande do Sul,IJUI,650
03/2018,CARAMURU ALIMENTOS  S/A,00080671000371,CENTRO OESTE,Goiás,SAO SIMAO,625
03/2018,CARAMURU ALIMENTOS  S/A,00080671002153,CENTRO OESTE,Goiás,IPAMERI,625
03/2018,CARAMURU ALIMENTOS  S/A,00080671002668,CENTRO OESTE,Mato Grosso,SORRISO,285
03/2018,ADM DO BRASIL LTDA,02003402002461,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,1352
03/2018,ADM DO BRASIL LTDA,02003402004677,SUL,Santa Catarina,JOACABA,510
03/2018,FIAGRIL LTDA,02734023000821,CENTRO OESTE,Mato Grosso,LUCAS DO RIO VERDE,563
03/2018,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,560
03/2018,BOCCHI INDUSTRIA E COMERCIO DE CEREAIS LTDA,02987873001056,SUL,Rio Grande do Sul,MUITOS CAPOES,300
03/2018,BINATURAL ENERGIAS RENOVAVEIS S.A,07113559000177,CENTRO OESTE,Goiás,FORMOSA,450
03/2018,BIO PETRO PRODUCAO E COMERCIALIZACAO DE BIOCOMBUSTIVEIS LTDA,07156116000163,SUDESTE,São Paulo,ARARAQUARA,194
03/2018,BE8 S.A.,07322382000119,SUL,Rio Grande do Sul,PASSO FUNDO,800
03/2018,BE8 S.A.,07322382000461,SUL,Paraná,MARIALVA,800
03/2018,JATAI AGROINDUSTRIA DE BIO-COMBUSTIVEL LTDA - EPP,07445656000167,CENTRO OESTE,Goiás,JATAI,50
03/2018,BIOCAPITAL PARTICIPACOES S.A.,07814533000156,SUDESTE,São Paulo,CHARQUEADA,400
03/2018,COMPANHIA PRODUTORA DE BIODIESEL DO TOCANTINS,07913930000185,NORTE,Tocantins,PARAISO DO TOCANTINS,81
03/2018,BIOPAR - BIOENERGIA DO PARANA LTDA.,07922068000177,SUL,Paraná,ROLANDIA,120
03/2018,TAUA BIODIESEL LTDA,08079290000112,CENTRO OESTE,Mato Grosso,NOVA MUTUM,100
03/2018,"BIOCAMP INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE BIODIESEL LTDA",08094915000115,CENTRO OESTE,Mato Grosso,CAMPO VERDE,300
03/2018,IPÊ BIOCOMBUSTÍVEL LTDA.,08382761000167,CENTRO OESTE,Mato Grosso,FELIZ NATAL,10
03/2018,BIO OLEO INDUSTRIA E COMERCIO DE BIOCOMBUSTIVEL LTDA - EPP,08387930000151,CENTRO OESTE,Mato Grosso,CUIABA,150
03/2018,"BIO BRAZILIAN ITALIAN OIL INDUSTRIA, COMERCIO E EXPORTACAO DE BIOCOMBUSTIVEIS LTDA.",08429269000108,CENTRO OESTE,Mato Grosso,BARRA DO GARCAS,98
03/2018,CESBRA QUIMICA LTDA,08436584000154,SUDESTE,Rio de Janeiro,VOLTA REDONDA,166
03/2018,BIOPAR PRODUCAO DE BIODIESEL PARECIS LTDA,08684263000179,CENTRO OESTE,Mato Grosso,NOVA MARILANDIA,338
03/2018,BIO VIDA PRODUCAO E COMERCIO DE BIODIESEL LTDA - ME,08772264000175,CENTRO OESTE,Mato Grosso,VARZEA GRANDE,18
03/2018,AMAZONBIO - INDUSTRIA E COMERCIO DE BIODIESEL DA AMAZONIA LTDA.,08794451000150,NORTE,Rondônia,JI-PARANA,90
03/2018,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000203,NORDESTE,Ceará,QUIXADA,301
03/2018,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000386,NORDESTE,Bahia,CANDEIAS,603
03/2018,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,422
03/2018,ALIANCA BIOCOMBUSTÍVEL LTDA.,10737181000197,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,10
03/2018,DELTA BIOCOMBUSTIVEIS INDUSTRIA E COMERCIO LTDA,11513699000100,CENTRO OESTE,Mato Grosso do Sul,RIO BRILHANTE,300
03/2018,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,1063
03/2018,OLEOPLAN NORDESTE INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,13463913000358,NORDESTE,Bahia,IRAQUARA,500
03/2018,SSIL SOCIEDADE SALES INDUSTRIAL LTDA - EPP,24748311000100,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,50
03/2018,USINA BARRALCOOL S/A,33664228000135,CENTRO OESTE,Mato Grosso,BARRA DO BUGRES,190
03/2018,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329002660,CENTRO OESTE,Goiás,ANAPOLIS,1550
03/2018,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329006143,SUL,Rio Grande do Sul,CACHOEIRA DO SUL,933
03/2018,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329008430,NORTE,Tocantins,PORTO NACIONAL,800
03/2018,PRODUTOS ALIMENTICIOS ORLANDIA S A COMERCIO E INDUSTRIA,53309845000120,SUDESTE,São Paulo,ORLANDIA,367
03/2018,CARGILL AGRICOLA S A,60498706029481,CENTRO OESTE,Mato Grosso do Sul,TRES LAGOAS,700
03/2018,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,45
03/2018,CAIBIENSE GRAN VITA LTDA,75817163000756,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,100
03/2018,BUNGE ALIMENTOS S/A,84046101054366,CENTRO OESTE,Mato Grosso,NOVA MUTUM,413
03/2018,BIANCHINI SA INDUSTRIA COMERCIO E AGRICULTURA,87548020000260,SUL,Rio Grande do Sul,CANOAS,900
03/2018,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,88676127000257,SUL,Rio Grande do Sul,VERANOPOLIS,1050
03/2018,FUGA COUROS SA,91302349001610,SUL,Rio Grande do Sul,CAMARGO,300
03/2018,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,600
03/2018,OLFAR S/A - ALIMENTO E ENERGIA,91830836004085,SUDESTE,Rio de Janeiro,PORTO REAL,450
03/2018,TRES TENTOS AGROINDUSTRIAL SA,94813102001737,SUL,Rio Grande do Sul,IJUI,500
03/2018,CAMERA AGROALIMENTOS S.A,98248644002656,SUL,Rio Grande do Sul,IJUI,650
02/2018,CARAMURU ALIMENTOS  S/A,00080671000371,CENTRO OESTE,Goiás,SAO SIMAO,625
02/2018,CARAMURU ALIMENTOS  S/A,00080671002153,CENTRO OESTE,Goiás,IPAMERI,625
02/2018,CARAMURU ALIMENTOS  S/A,00080671002668,CENTRO OESTE,Mato Grosso,SORRISO,285
02/2018,ADM DO BRASIL LTDA,02003402002461,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,1352
02/2018,ADM DO BRASIL LTDA,02003402004677,SUL,Santa Catarina,JOACABA,510
02/2018,FIAGRIL LTDA,02734023000821,CENTRO OESTE,Mato Grosso,LUCAS DO RIO VERDE,563
02/2018,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,560
02/2018,BOCCHI INDUSTRIA E COMERCIO DE CEREAIS LTDA,02987873001056,SUL,Rio Grande do Sul,MUITOS CAPOES,300
02/2018,BINATURAL ENERGIAS RENOVAVEIS S.A,07113559000177,CENTRO OESTE,Goiás,FORMOSA,450
02/2018,BIO PETRO PRODUCAO E COMERCIALIZACAO DE BIOCOMBUSTIVEIS LTDA,07156116000163,SUDESTE,São Paulo,ARARAQUARA,194
02/2018,BE8 S.A.,07322382000119,SUL,Rio Grande do Sul,PASSO FUNDO,800
02/2018,BE8 S.A.,07322382000461,SUL,Paraná,MARIALVA,800
02/2018,JATAI AGROINDUSTRIA DE BIO-COMBUSTIVEL LTDA - EPP,07445656000167,CENTRO OESTE,Goiás,JATAI,50
02/2018,BIOCAPITAL PARTICIPACOES S.A.,07814533000156,SUDESTE,São Paulo,CHARQUEADA,400
02/2018,COMPANHIA PRODUTORA DE BIODIESEL DO TOCANTINS,07913930000185,NORTE,Tocantins,PARAISO DO TOCANTINS,81
02/2018,BIOPAR - BIOENERGIA DO PARANA LTDA.,07922068000177,SUL,Paraná,ROLANDIA,120
02/2018,TAUA BIODIESEL LTDA,08079290000112,CENTRO OESTE,Mato Grosso,NOVA MUTUM,100
02/2018,"BIOCAMP INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE BIODIESEL LTDA",08094915000115,CENTRO OESTE,Mato Grosso,CAMPO VERDE,300
02/2018,IPÊ BIOCOMBUSTÍVEL LTDA.,08382761000167,CENTRO OESTE,Mato Grosso,FELIZ NATAL,10
02/2018,BIO OLEO INDUSTRIA E COMERCIO DE BIOCOMBUSTIVEL LTDA - EPP,08387930000151,CENTRO OESTE,Mato Grosso,CUIABA,150
02/2018,"BIO BRAZILIAN ITALIAN OIL INDUSTRIA, COMERCIO E EXPORTACAO DE BIOCOMBUSTIVEIS LTDA.",08429269000108,CENTRO OESTE,Mato Grosso,BARRA DO GARCAS,98
02/2018,CESBRA QUIMICA LTDA,08436584000154,SUDESTE,Rio de Janeiro,VOLTA REDONDA,166
02/2018,BIOPAR PRODUCAO DE BIODIESEL PARECIS LTDA,08684263000179,CENTRO OESTE,Mato Grosso,NOVA MARILANDIA,338
02/2018,BIO VIDA PRODUCAO E COMERCIO DE BIODIESEL LTDA - ME,08772264000175,CENTRO OESTE,Mato Grosso,VARZEA GRANDE,18
